MACHINE LEARNING ALGORITHM:,,,,,,
Random Forest Classifier,Gradient Boosting Classifier,Support Vector Machine,Logistic Regression,K-Neighbors Classifier,Neural MLP Classifier,Decision Tree Classifier
1) Age Diff: 0.070,1) Age Diff: 0.162,1) Head Strikes Attempts Per Min Diff: 0.361,1) Head Strikes Attempts Per Min Diff: 0.322,1) Avg Control Diff: 0.040,1) Avg Control Diff: 0.100,1) Age Diff: 0.088
2) Height Diff: 0.051,2) Reach Diff: 0.059,2) Age Diff: 0.335,2) Avg Total Strikes Attempts Per Min Diff: 0.276,2) Days Since Last Comp Diff: 0.026,2) Avg Takedowns Def Diff: 0.082,2) Height Diff: 0.045
3) Days Since Last Comp Diff: 0.039,3) Avg Head Strikes Landed Diff: 0.035,3) Avg Head Strikes Attempts Per Min Diff: 0.315,3) Distance Strikes Attempts Per Min Diff: 0.264,3) Control Diff: 0.024,3) Avg Takedowns Acc Diff: 0.079,3) Days Since Last Comp Diff: 0.044
4) Reach Diff: 0.038,4) Total Comp Time Diff: 0.033,4) Ko Losses Diff: 0.296,4) Age Diff: 0.220,4) Takedowns Acc Diff: 0.023,4) Takedowns Acc Diff: 0.073,4) Reach Diff: 0.039
5) Avg Head Strikes Landed Diff: 0.007,5) Win Loss Ratio Diff: 0.032,5) Avg Total Strikes Attempts Per Min Diff: 0.252,5) Total Strikes Landed Per Min Diff: 0.208,5) Age Diff: 0.021,5) Control Diff: 0.069,5) Avg Head Strikes Landed Diff: 0.015
6) Avg Sig Strikes Absorbed Diff: 0.007,6) Days Since Last Comp Diff: 0.032,6) Sub Landed Per Min Diff: 0.233,6) Avg Head Strikes Attempts Per Min Diff: 0.195,6) Takedowns Def Diff: 0.020,6) Takedowns Def Diff: 0.057,6) Avg Ground Strikes Attempts Per Min Diff: 0.012
7) Avg Head Strikes Absorbed Diff: 0.007,7) Avg Head Strikes Landed Per Min Diff: 0.024,7) Avg Head Strikes Landed Diff: 0.233,7) Sig Strikes Landed Per Min Diff: 0.180,7) Reach Diff: 0.016,7) Ground Strikes Def Diff: 0.055,7) Avg Clinch Strikes Acc Diff: 0.011
8) Avg Sig Strikes Landed Diff: 0.007,8) Avg Control Diff: 0.024,8) Distance Strikes Attempts Per Min Diff: 0.225,8) Avg Head Strikes Absorbed Diff: 0.176,8) Clinch Strikes Def Diff: 0.013,8) Avg Ground Strikes Def Diff: 0.049,8) Avg Total Comp Time Diff: 0.011
9) Avg Control Diff: 0.007,9) Num Fights Diff: 0.023,9) Sub Absorbed Diff: 0.193,9) Ko Losses Diff: 0.174,9) Avg Takedowns Def Diff: 0.012,9) Clinch Strikes Def Diff: 0.047,9) Total Comp Time Diff: 0.011
10) Total Comp Time Diff: 0.007,10) Avg Sig Strikes Absorbed Diff: 0.021,10) Avg Head Strikes Absorbed Diff: 0.192,10) Avg Head Strikes Landed Diff: 0.172,10) Height Diff: 0.010,10) Avg Sub Acc Diff: 0.046,10) Avg Sig Strikes Absorbed Diff: 0.010
11) Avg Leg Strikes Acc Diff: 0.007,11) Avg Takedowns Landed Diff: 0.018,11) Sub Landed Diff: 0.187,11) Sub Landed Per Min Diff: 0.147,11) Avg Takedowns Acc Diff: 0.009,11) Leg Strikes Def Diff: 0.046,11) Avg Leg Strikes Acc Diff: 0.010
